,중분류,상품명,생산국가,상세정보
wine,레드,"복, 시라",헝가리,"생산자
복 Bock
국가/생산지역
헝가리(Hungary)
주요품종
시라/쉬라즈 (Syrah/Shiraz)
숙성
발효 후 새 오크 배럴에서 18개월 동안 숙성
알코올
14~15 %
음용온도
16~18 ℃
추천음식
붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.
기타정보
*Vivino 평점 4.2점"
wine,스파클링,본 샹스 모스카토 로제,스페인,"생산자
보데가스 로페즈 모레나스 Bodegas Lopez Morenas S.L
국가/생산지역
스페인(Spain)
주요품종
모스카토 (Moscato ) 100%
스타일
Spanish Sparkling
알코올
7 %
음용온도
6~8 ℃
추천음식
각종 디저트, 케익, 과일, 호두
수입사
동원와인플러스   "
wine,레드,"본드, 퀠라",미국,"생산자
본드 에스테이트 Bond Estates
국가/생산지역
미국(U.S.A) > 캘리포니아(California) > 나파 카운티(Napa County) > 나파 밸리(Napa Valley)
주요품종
카베르네 소비뇽 (Cabernet Sauvignon)
스타일
Californian Cabernet Sauvignon
등급
Napa Valley AVA
알코올
14 %
음용온도
16~18 ℃
추천음식
고급 안심, 등심 스테이크, 그릴에 구운 야채, 바비큐요리, 숙성된 치즈 등과 잘 어울린다.
기타정보
*2016 빈티지: Robert Parker 96+점
*2015 빈티지: Robert Parker 97점, Wine Spectator 96점
*2014 빈티지: Robert Parker 96점, Wine Spectator 92점
*2013 빈티지: Robert Parker 96+점, Wine Spectator 91점
수입사
크리스탈와인   "
wine,레드,부켈라 까베르네 소비뇽,미국,"생산자
부켈라 에스테이트 Buccella Estate
국가/생산지역
미국(U.S.A) > 캘리포니아(California) > 나파 카운티(Napa County) > 나파 밸리(Napa Valley)
주요품종
카베르네 소비뇽 (Cabernet Sauvignon) 86%, 메를로 (Merlot) 3%, 카베르네 프랑 (Cabernet Franc) 2%, 쁘띠 베르도 (Petit Verdot) 3%, 말벡 (Malbec) 6%
스타일
Californian Cabernet Sauvignon
등급
Napa Valley AVA
알코올
14.8 %
음용온도
16~18 ℃
추천음식
그릴에 구운 육류요리, 브레이즈한 비프 립, 베이컨 요리
기타정보
*2011: Robert Parker 93점
*2010: Robert Parker 95점, International Wine Cellar 92+점, Antonio Galloni 95점
수입사
신세계엘앤비   "
wine,화이트,"브라이다, 지 모스카토 다스티",이탈리아,"생산자
브라이다 [지아코모 볼로냐 브라이다] Braida [Giacomo Bologna Braida]
국가/생산지역
이탈리아(Italy) > 피에몬테(Piemonte) > 아스티(Asti)
주요품종
모스카토 (Moscato ) 100%
스타일
Italian Asti
알코올
5.5 %
음용온도
6~8 ℃
추천음식
초콜렛이나 케익, 디저트 과일, 언제든지 편하게 마실 수 있다.
기타정보
*와인21닷컴 2019년 2월 이달의 와인으로 선정 - BEST WINE
수입사
무학주류상사   "
wine,주정강화,블랜디스 알바다 5년,포르투갈,"생산자
브랜디스 마데이라 Blandy's Madeira
국가/생산지역
포르투갈(Portugal) > 마데이라(Madeira)
주요품종
부알 (Bual) , 맘지 (Malmsey)
알코올
19 %
음용온도
20 ℃
추천음식
땅콩, 아몬드 등 견과류와 초콜릿, 치즈 등 고소하고 달콤한 음식들과 어울린다.
기타정보
*와인21닷컴 기자들이 선정한 '주정강화와인' BEST10 와인"
wine,레드,"블루 넌, 까베르네 소비뇽 스위트",프랑스,"생산자
랑구스 - 블루넌 Langguth - Blue nun
국가/생산지역
프랑스(France) > 서던 프랑스(Southern France) > 랑그독 루씨용(Languedoc Roussillon)
주요품종
카베르네 소비뇽 (Cabernet Sauvignon)
스타일
Languedoc-Roussillon Red
알코올
10~11 %
음용온도
12~14 ℃
추천음식
부드러운 소스의 중국음식, 일본퓨전 음식, 말린과일, 간단한 카나페, 과일칵테일, 간 스파이시한 한식, 볶음요리 등과 잘 어울린다.
수입사
금양인터내셔날   "
wine,화이트,"비뉴롱 아쏘시에, 부르고뉴 샤르도네",프랑스,"생산자
비뉴롱 아쏘시에 Vignerons Associes
국가/생산지역
프랑스(France) > 부르고뉴(Bourgogne)
주요품종
샤르도네 (Chardonnay)
알코올
12~13 %
음용온도
10~12 ℃
추천음식
연어 스테이크, 석화구이, 각종 생선요리, 회, 오일파스타 등과 잘 어울린다."
wine,레드,"비비 그라츠, 소포코네 디 빈칠리아타",이탈리아,"생산자
비비 그라츠 Bibi Graetz
국가/생산지역
이탈리아(Italy) > 토스카나(Toscana)
주요품종
산지오베제 (Sangiovese) 90%, 콜로리노 (Colorino) 7%, 카나이올로 (Canaiolo) 3%
스타일
Central Italy Red
알코올
13~14 %
음용온도
16~18 ℃
추천음식
풍부한 소스의 파스타, 다양한 스타일의 육류, 양갈비 구이 등과 잘 어울린다.
기타정보
*2018 Korea Sommelier Awards Gold Medal
*2015 빈티지: James Suckling 94점
*2014 빈티지: James Suckling 94점
*Korea Wine Challenge(KWC) Gold Medal
*Wine Spectator - 93점
*'Mini Testamatta' 또는 'Baby Super Tuscan'으로 불림
*와인21닷컴 기자들이 선정한 '사랑을 부르는 와인' BEST10 와인
수입사
(주)와이넬   "
wine,레드,"비센테 간디아 , 바론 데 발스 레드",스페인,"생산자
비센테 간디아 Vicente Gandia
국가/생산지역
스페인(Spain) > 발렌시아(Valencia)
주요품종
모나스트렐 (Monastrell) , 보발 (Bobal) , 템프라니요 (Tempranillo)
스타일
Spanish Red
알코올
11~12 %
음용온도
16~18 ℃
수입사
모노드림   "
wine,레드,"비센테 간디아, 세라믹 모나스트렐",스페인,"생산자
비센테 간디아 Vicente Gandia
국가/생산지역
스페인(Spain) > 발렌시아(Valencia)
주요품종
모나스트렐 (Monastrell)
스타일
Spanish Monastrell
숙성
프랑스산 오크통에서 11개월 동안 숙성되고 티나자로 알려진 전통적인 점토 통에서 정제.
알코올
14~15 %
음용온도
16~18 ℃
추천음식
양고기, 양갈비, 소고기, 스테이크, 갈비찜, 양념갈비, 햄버거, 다양한 치즈 등과 잘 어울린다.
수입사
모노드림   "
wine,화이트,"비센테 간디아, 아벤토",스페인,"생산자
비센테 간디아 Vicente Gandia
국가/생산지역
스페인(Spain) > 발렌시아(Valencia)
주요품종
말바시아 (Malvasia) , 모스카텔 (Moscatel)
알코올
12~13 %
음용온도
8~10 ℃
수입사
모노드림   "
wine,레드,"비센테 간디아, 콘운파 모나스트렐",스페인,"생산자
비센테 간디아 Vicente Gandia
국가/생산지역
스페인(Spain) > 발렌시아(Valencia)
주요품종
모나스트렐 (Monastrell) , 쁘띠 베르도 (Petit Verdot)
스타일
Spanish Monastrell
알코올
13~14 %
음용온도
16~18 ℃
수입사
모노드림   "
wine,화이트,"비센테 간디아, 콘운파 소비뇽 블랑",스페인,"생산자
비센테 간디아 Vicente Gandia
국가/생산지역
스페인(Spain) > 발렌시아(Valencia)
주요품종
소비뇽 블랑 (Sauvignon Blanc)
스타일
Spanish Sauvignon Blanc
알코올
12~13 %
음용온도
8~10 ℃
수입사
모노드림   "
wine,레드,"빅탑, 올드 바인 진판델",미국,"생산자
더 빅 탑 와이너리 The Big Top Winery
국가/생산지역
미국(U.S.A) > 캘리포니아(California) > 샌 호아퀸 카운티(San Joaquin County) > 로디(Lodi)
주요품종
진판델 (Zinfandel)
스타일
Californian Zinfandel
등급
Lodi AVA
알코올
14~15 %
음용온도
16~18 ℃
추천음식
소고기, 스테이크, 양갈비, 양꼬치, 건육, 갈비찜, 양념갈비, 햄버거, 피자, 다양한 치즈, 말린과일 등과 잘 어울린다.
수입사
모노드림   "
wine,로제,"빅탑, 올드 바인 화이트 진판델",미국,"생산자
더 빅 탑 와이너리 The Big Top Winery
국가/생산지역
미국(U.S.A) > 캘리포니아(California) > 샌 호아퀸 카운티(San Joaquin County) > 로디(Lodi)
주요품종
진판델 (Zinfandel)
스타일
Californian Zinfandel
양조
Lodi지역의 30년 이상된 올드바인에서 재배한 zinfandel을 사용.
알코올
11~12 %
음용온도
14~16 ℃
수입사
모노드림   "
wine,스파클링,"빌라 산디, 프로세코 뀌베 오리스",이탈리아,"생산자
빌라 산디 Villa Sandi
국가/생산지역
이탈리아(Italy) > 베네토(Veneto)
주요품종
프로세코 (Prosecco) 100%
등급
Prosecco DOC(DOP)
알코올
11.5 %
음용온도
6~8 ℃
추천음식
아페리티프 또는 생선이나 흰색의 육류로 만들어진 모든 음식 등과 잘 어울린다."
wine,스파클링,"뻬레 벤뚜라, 까바 브륏 레세르바 아트 에디션 화이트",스페인,"생산자
뻬레 벤뚜라 Pere Ventura
국가/생산지역
스페인(Spain) > 페네데스(Penedes)
주요품종
자렐로 (Xarel.lo) 35%, 빠레야다 (Parellada) 35%, 마카베오 (Macabeo) 30%
알코올
11.5 %
음용온도
8~10 ℃
추천음식
식전주, 야채 타르트, 시저 샐러드 브런치 등과 잘 어울린다.
기타정보
*2018 Berliner Wein Trophy 금메달
*2017 Concours Mondial de Bruxelles 은메달
*2017 Wine Expo Poland Consumer's Award 금메달

*2016 대한민국 주류대상 스파클링와인 부문 대상 수상
*2016 Korea Wine Challenge 2016 은메달
*2016 Berliner Wein Trophy 은메달"
wine,스파클링,"뻬에르 피터, 뀌베 스페셜 레 셔띠용",프랑스,"생산자
뻬에르 피터 Pierre Peters
국가/생산지역
프랑스(France) > 샹빠뉴(Champagne)
주요품종
샤르도네 (Chardonnay)
등급
Champagne AOC(AOP)
알코올
12 %
음용온도
7~9 ℃
추천음식
관자요리, 굴(석화), 생선회, 새우요리등의 강한 양념이 없는 해물요리들과 잘 어울린다."
wine,레드,뽀이약 바롱 나다니엘,프랑스,"생산자
바롱 필립 드 로칠드 Baron Philippe de Rothschild
국가/생산지역
프랑스(France) > 보르도(Bordeaux) > 뽀이약(Pauillac)
주요품종
카베르네 소비뇽 (Cabernet Sauvignon) 80%, 메를로 (Merlot) 10%, 카베르네 프랑 (Cabernet Franc) 8%, 말벡 (Malbec) , 쁘띠 베르도 (Petit Verdot) 2%
등급
Pauillac AOC(AOP)
알코올
12.5 %
음용온도
17~19 ℃
추천음식
등심구이, 안심구이, 브뤼치즈, 그릴에 구운 요리, 생 양송이 버섯과 잘 어울린다."
wine,스파클링,"삐에르 피터, 브뤼 뀌베 리져브",프랑스,"생산자
뻬에르 피터 Pierre Peters
국가/생산지역
프랑스(France) > 샹빠뉴(Champagne)
주요품종
샤르도네 (Chardonnay)
등급
Champagne AOC(AOP)
알코올
12 %
음용온도
7~9 ℃
추천음식
블루치즈, 견과류, 에피타이져 및 한식과도 잘 어울린다."
wine,레드,"산 페드로, 에피카 레드 블렌드",칠레,"생산자
산 페드로 San Pedro
국가/생산지역
칠레(Chile) > 센트럴 밸리(Central Valley)
주요품종
카베르네 소비뇽 (Cabernet Sauvignon) 90%, 카르메네르 (Carmenere) 5%, 시라/쉬라즈 (Syrah/Shiraz) 5%
알코올
13~14 %
음용온도
15~17 ℃
추천음식
각종 붉은 고기류 뿐만 아니라 치즈, 견과류 등이 들어간 요리들과 잘 어울리며, 특히 초콜릿과도 뛰어난 조화를 보여주는 와인이다.
기타정보
*The Beverage Information Group 'Rising Star Award' 2년 연속 선정
*2014 Ultimate Wine & Spirits Challenge 91점
*2014 브뤼셀 국제 와인대회 '금메달'
수입사
금양인터내셔날   "
wine,레드,"산 페드로,몰리나 레세르바 까르미네르",칠레,"생산자
산 페드로 San Pedro
국가/생산지역
칠레(Chile) > 마울레 밸리(Maule Valley)
주요품종
카르메네르 (Carmenere) 100%
스타일
Chilean Carménère
알코올
14~15 %
음용온도
16~18 ℃
추천음식
담백하게 요리한 가금류, 중국음식, 일본퓨전 음식, 스테이크, 한식요리 등과 잘 어울린다.
기타정보
*2013 빈티지: Descorchados 90점
*2012 빈티지: Wine Enthusiast 89점
수입사
금양인터내셔날   "
wine,레드,"산타 리타, 120 리저브 스페셜 까베르네 소비뇽",칠레,"생산자
산타 리타 Santa Rita
국가/생산지역
칠레(Chile) > 마이포 밸리(Maipo Valley)
주요품종
카베르네 소비뇽 (Cabernet Sauvignon)
알코올
14 %
음용온도
16~18 ℃
추천음식
붉은 육류 요리, 돼지 고기, 잘 익은 치즈, 파스타 등과 잘 어울린다."
wine,레드,"산타 캐롤리나, 브이에스씨",칠레,"생산자
산타 캐롤리나 Santa Carolina
국가/생산지역
칠레(Chile) > 마이포 밸리(Maipo Valley)
주요품종
카베르네 소비뇽 (Cabernet Sauvignon) 50%, 메를로 (Merlot) 25%, 시라/쉬라즈 (Syrah/Shiraz) 20%, 쁘띠 베르도 (Petit Verdot) 5%
알코올
13~14 %
음용온도
16~18 ℃
추천음식
잘 구운 양고기, 양념을 곁들인 육류, 소의 허리고기살 등과 잘 어울린다.
기타정보
*2008 Best Chilean Wine Japan Wine Challenge Gold
*2008 Patricio Tapia 92점
*2008 Concours Mondial de Bruxelles Gold
*2007 Wine & Spirits 91점
*2007 International Wine Cellar 91점
수입사
롯데칠성음료   "
wine,스파클링,산테로 모스카토 스푸만테,이탈리아,"생산자
산테로 Santero
국가/생산지역
이탈리아(Italy) > 피에몬테(Piemonte)
주요품종
모스카토 (Moscato ) 100%
알코올
6.5 %
음용온도
6~8 ℃
추천음식
다크쵸콜릿, 블루치즈, 견과류, 사과파이, 딸기쨈을 곁들인 디져트 음식등과 잘 어울린다."
wine,화이트,"샤논 릿지, 하이 엘레베이션 샤도네이",미국,"생산자
샤논 릿지 Shannon Ridge
국가/생산지역
미국(U.S.A) > 캘리포니아(California) > 레이크 카운티(Lake County)
주요품종
샤르도네 (Chardonnay) 100%
스타일
Californian Chardonnay
알코올
13~14 %
음용온도
10~12 ℃
추천음식
버섯요리, 샐러드, 크림파스타, 갑각류 등과 잘 어울린다.
기타정보
*2013 빈티지: California State Fair Silver, Dan Berger's International Wine Competition Bronze
*2015 빈티지: Wine Enthusiast 88점, San Francisco Chronicle Wine Competition Silver
수입사
케이제이무역   "
wine,레드,샤또 깡뜨냑 브라운,프랑스,"생산자
샤또 깡뜨냑 브라운 Chateau Cantenac-Brown, Grand Cru Classe,3rd Cru
국가/생산지역
프랑스(France) > 보르도(Bordeaux) > 마고(Margaux)
주요품종
카베르네 소비뇽 (Cabernet Sauvignon) , 메를로 (Merlot) , 카베르네 프랑 (Cabernet Franc)
스타일
Bordeaux Margaux
등급
Margaux AOC(AOP), Grand Cru Classé(3등급)
숙성
60% 새 오크통에서 16개월간 숙성
음용온도
16~18 ℃
추천음식
붉은육류, 스테이크, 로스트비프, 훈제오리, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.
기타정보
*Soil: Gravel
*Second Wine: BriO de Cantenac Brown"
wine,화이트,샤또 라 루비에르 화이트,프랑스,"생산자
샤또 라 루비에르 Chateau la Louviere
국가/생산지역
프랑스(France) > 보르도(Bordeaux) > 뻬싹-레오냥(Pessac-Leognan)
주요품종
소비뇽 블랑 (Sauvignon Blanc) , 세미용 (Semillon)
스타일
Bordeaux Pessac-Léognan
등급
Pessac-Léognan AOC(AOP)
숙성
30% 새 오크통에 10개월간 숙성
음용온도
10~12 ℃
추천음식
소고기류, 가금류, 블랙후추를 가진 계절음식과 잘 어울린다.
기타정보
*Soil: Gravel, Silica, Limestone"
wine,레드,"샤또 라그랑쥬, 포므롤",프랑스,"생산자
장 삐에르 무엑스 Jean Pierre Moueix
국가/생산지역
프랑스(France) > 보르도(Bordeaux) > 뽀므롤(Pomerol)
주요품종
메를로 (Merlot) 95%, 카베르네 프랑 (Cabernet Franc) 5%
스타일
Bordeaux Pomerol
등급
Pomerol AOC(AOP)
알코올
13~14 %
음용온도
16~18 ℃
추천음식
가금류 고기 구이, 치킨 그릴 구이, 버섯구이 등과 잘 어울린다.
기타정보
*2016 빈티지: Wine Enthusiast 93-95점, Robert Parker 94-96점, James Suckling 95/96점, Wine Spectator 92-95점
*2015 빈티지: James Suckling 92/93점, Decanter 92점, Jancis Robinson 16.5+점, Wine Spectator 89-92점
*2013 빈티지: Robert Parker 87점
*2011 빈티지: Robert Parker 86점"
wine,레드,"샤또 라바브르, 샤또 라바브르",프랑스,"생산자
샤또 라바브르 Chateau Lavabre
국가/생산지역
프랑스(France) > 서던 프랑스(Southern France) > 랑그독 루씨용(Languedoc Roussillon)
주요품종
시라/쉬라즈 (Syrah/Shiraz) 70%, 그르나슈 (Grenache) 30%
등급
Pic-Saint-Loup AOC(AOP)
알코올
15 %
음용온도
16~17 ℃
추천음식
다양한 향신료로 오븐에 조리한 양갈비, 잘 숙성된 고다 치즈 등과 잘 어울린다.
기타정보
*2017 빈티지: Robert M. Parker Jr. – 94-96점, Best Wine of Languedoc 2017 by Robert Parker
수입사
(주)와이넬   "
wine,화이트,샤또 루피악 고디에,프랑스,"생산자
샤토 루피악 고디에 Chateau Loupiac Gaudiet
국가/생산지역
프랑스(France) > 보르도(Bordeaux) > 루피악(Loupiac)
주요품종
세미용 (Semillon) , 소비뇽 블랑 (Sauvignon Blanc)
등급
Loupiac AOC(AOP)
알코올
13~14 %
음용온도
10~12 ℃
추천음식
블루치즈, 고르곤졸라 피자 등과 잘 어울린다.
수입사
비케이트레이딩   "
wine,레드,샤또 르 물랭,프랑스,"생산자
샤또 르 물랭 Chateau Le Moulin
국가/생산지역
프랑스(France) > 보르도(Bordeaux) > 뽀므롤(Pomerol)
주요품종
메를로 (Merlot) 80%, 카베르네 프랑 (Cabernet Franc) 20%
음용온도
16~18 ℃
추천음식
붉은육류, 스테이크, 로스트비프, 훈제오리, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다."
wine,레드,샤또 마조쓰,프랑스,"생산자
샤또 마조쓰 Chateau Marjosse
국가/생산지역
프랑스(France) > 보르도(Bordeaux)
주요품종
메를로 (Merlot) , 카베르네 소비뇽 (Cabernet Sauvignon) , 카베르네 프랑 (Cabernet Franc) , 말벡 (Malbec)
스타일
Bordeaux Red
등급
Bordeaux AOC(AOP)
알코올
13 %
음용온도
16~18 ℃
추천음식
거위간, 포크 스테이크, 에멘탈 치즈, 퐁듀, 피자 등과 잘 어울린다.
수입사
하이트진로   "
wine,레드,샤또 말레스까스,프랑스,"생산자
샤또 말레스까스 Chateau Malescasse
국가/생산지역
프랑스(France) > 보르도(Bordeaux) > 오-메독(Haut-Medoc)
주요품종
카베르네 소비뇽 (Cabernet Sauvignon) 55%, 메를로 (Merlot) 35%, 카베르네 프랑 (Cabernet Franc) 10%
등급
Haut-Médoc AOC(AOP)
음용온도
16~18 ℃
추천음식
붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈 등과 잘 어울린다."
wine,레드,샤또 벨-에어,프랑스,"생산자
샤또 벨 레르 [베르쥬악] Chateau Bel Air [Bergerac]
국가/생산지역
프랑스(France) > 사우스웨스트 프랑스(Southwest France) > 베르쥬악(Bergerac)
주요품종
카베르네 소비뇽 (Cabernet Sauvignon) 50%, 메를로 (Merlot) 42%, 카베르네 프랑 (Cabernet Franc) 8%
등급
Bergerac AOC(AOP)
음용온도
16~18 ℃
추천음식
붉은 육류와 치즈 등과 잘 어울린다.
수입사
국순당   "
wine,화이트,샤또 스미스 오 라피뜨 블랑,프랑스,"생산자
샤또 스미스 오 라피뜨 Chateau Smith Haut Lafitte, Grand Cru Classé de Grave
국가/생산지역
프랑스(France) > 보르도(Bordeaux) > 뻬싹-레오냥(Pessac-Leognan)
주요품종
소비뇽 블랑 (Sauvignon Blanc) , 소비뇽 그리 (Sauvignon Gris) , 세미용 (Semillon)
스타일
Bordeaux Pessac-Léognan
등급
Pessac-Léognan AOC(AOP), Cru Classé de Graves
숙성
30~60% 새 오크에서 12~15개월간 숙성
알코올
13~14 %
음용온도
10~12 ℃
추천음식
크림소스의 파스타, 스파게티, 연어요리, 베이글, 치즈등과 어울린다.
기타정보
*Soil: Gravel, Clay, Limestone"
wine,레드,샤또 오 브리옹,프랑스,"생산자
샤또 오 브리옹 Chateau Haut-Brion, 1st Grand Cru Classe
국가/생산지역
프랑스(France) > 보르도(Bordeaux) > 뻬싹-레오냥(Pessac-Leognan)
주요품종
메를로 (Merlot) , 카베르네 소비뇽 (Cabernet Sauvignon) , 카베르네 프랑 (Cabernet Franc)
스타일
Bordeaux Pessac-Léognan
등급
Pessac-Léognan AOC(AOP), Grand Cru Classé(1등급)
알코올
13~14 %
음용온도
16~18 ℃
추천음식
붉은육류, 스테이크, 로스트비프, 훈제오리, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.
기타정보
*2013 빈티지: Decanter 18.5점, Jancis Robinson 18.5점
*2003 빈티지: Robert Parker 95점, Wine Spectator 96점
*1982 빈티지: Robert Parker 95점, Wine Spectator 95점
*1979 빈티지: Robert Parker 93점"
wine,화이트,샤또 페랑 블랑,프랑스,"생산자
샤또 페란 Chateau Ferran
국가/생산지역
프랑스(France) > 보르도(Bordeaux) > 뻬싹-레오냥(Pessac-Leognan)
주요품종
세미용 (Semillon) 55%, 소비뇽 블랑 (Sauvignon Blanc) 45%
등급
Pessac-Léognan AOC(AOP)
알코올
13 %
음용온도
8~10 ℃
추천음식
뜻한 샐러드, 그릴에 구운 생선이나 회 종류와 뛰어난 궁합을 이룬다."
wine,레드,샤또 퐁테 카네,프랑스,"생산자
샤또 퐁테 카네 Chateau Pontet Canet, Grand Cru Classe,5th Cru
국가/생산지역
프랑스(France) > 보르도(Bordeaux) > 뽀이약(Pauillac)
주요품종
카베르네 소비뇽 (Cabernet Sauvignon) 70%, 메를로 (Merlot) 25%, 카베르네 프랑 (Cabernet Franc) 4%, 쁘띠 베르도 (Petit Verdot) 1%
스타일
Bordeaux Pauillac
등급
Pauillac AOC(AOP), Grand Cru Classé(5등급)
알코올
13~14 %
음용온도
16~18 ℃
추천음식
스테이크, 양고기, 치즈, 앙트레 등과 잘 어울린다.
수입사
타펙스   "
wine,스파클링,"샤를 뒤푸, 르 샴 뒤 끌로 블랑 드 블랑",프랑스,"생산자
샴페인 샤를 뒤푸 Champagne Charles Dufour
국가/생산지역
프랑스(France) > 샹빠뉴(Champagne)
주요품종
피노 블랑 (Pinot Blanc) 100%
스타일
French Champagne
음용온도
8~10 ℃
추천음식
스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.
수입사
크리스탈와인   "
wine,스파클링,"샤를 오르방, 뀌베 스페셜 08",프랑스,"생산자
샤를 오르방 Charles Orban
국가/생산지역
프랑스(France) > 샹빠뉴(Champagne)
주요품종
샤르도네 (Chardonnay) 50%, 피노 누아 (Pinot Noir) 40%, 피노 뮈니에 (Pinot Meunier) 10%
알코올
11~12 %
음용온도
6~8 ℃
추천음식
스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.
수입사
유와인(주)   "
wine,레드,샤토 말르당 보르도 수페리에,프랑스,"생산자
비뇨블 브뤼노 Vignobles Brunot
국가/생산지역
프랑스(France) > 보르도(Bordeaux)
주요품종
메를로 (Merlot) , 카베르네 프랑 (Cabernet Franc)
스타일
Bordeaux Red
양조
스테인레스 스틸 탱크에서 1주간 전통적인 알코올 발효, 2주간의 침용, 2개월 정도 젖산 발효
숙성
50%은 스테인리스 탱크에서 50%은 오크에서 12개월 간 진행
음용온도
16~18 ℃
추천음식
붉은 육류와 잘 어울리는 스타일로 앙트르-꼬뜨(꽃등심) 등 구운 고기등과 잘 어울린다.
수입사
(주)와이넬   "
wine,레드,"샤플렛, 시그네처 까베르네 소비뇽",미국,"생산자
샤플렛 Chappellet
국가/생산지역
미국(U.S.A) > 캘리포니아(California) > 나파 카운티(Napa County) > 나파 밸리(Napa Valley)
주요품종
카베르네 소비뇽 (Cabernet Sauvignon) 79%, 쁘띠 베르도 (Petit Verdot) 4%, 메를로 (Merlot) 13%, 카베르네 프랑 (Cabernet Franc) 4%
스타일
Californian Cabernet Sauvignon
등급
Napa Valley AVA
알코올
14~15 %
음용온도
16~18 ℃
추천음식
구운 오리 가슴살 요리, 스테이크, 양고기, 바비큐요리, 숙성된 치즈등과 잘 어울린다.
기타정보
*2014 빈티지: Robert Parker 94점
*2006 빈티지: 2009 Wine Spectator 100대 와인 선정
*2004 빈티지: 2007 Wine Spectator 100대 와인 선정
수입사
와인투유코리아   "
wine,스파클링,샹파뉴 살롱 S,프랑스,"생산자
샴페인 살롱 Champagne Salon
국가/생산지역
프랑스(France) > 샹빠뉴(Champagne)
주요품종
샤르도네 (Chardonnay) 100%
스타일
French Champagne
등급
Champagne AOC(AOP)
음용온도
6~8 ℃
추천음식
랍스터 비스크 수프나 크림소스에 요리한 닭고기, 관자 카르파치오, 트러플 리조또, 버섯과 함께 조리한 송아지고기, 담백하게 요리한 농어 등 섬세한 요리와 잘 어울린다. 클래식한 매칭으로는 캐비어나 이베리코 햄, 숙성한 체다 등의 안주와 곁들이면 좋다.
기타정보
*2002 빈티지: La revue du Vin de France 19/20점
수입사
신세계엘앤비   "
wine,레드,세냐,칠레,"생산자
비냐 세냐 Vina Sena
국가/생산지역
칠레(Chile) > 아콩카구아(Aconcagua) > 아콩카구아 밸리(Aconcagua Valley)
주요품종
카베르네 소비뇽 (Cabernet Sauvignon) , 카르메네르 (Carmenere) , 메를로 (Merlot) , 말벡 (Malbec) , 쁘띠 베르도 (Petit Verdot) , 카베르네 프랑 (Cabernet Franc)
알코올
13~14 %
음용온도
16~18 ℃
추천음식
소고기, 양고기, 치즈 등과 잘 어울린다.
기타정보
*2015 빈티지: James Suckling 100점, Robert Parker 96점
*2016 빈티지: Robert Parker 97점
수입사
에노테카코리아   "
wine,레드,"세인트 프란시스, 올드 바인 진판델",미국,"생산자
세인트 프란시스 Saint Francis
국가/생산지역
미국(U.S.A) > 캘리포니아(California) > 소노마 카운티(Sonoma County)
주요품종
진판델 (Zinfandel) , 쁘띠 시라 (Petite Sirah) , 기타 품종 (Other Grapes)
알코올
15~16 %
음용온도
16~18 ℃
추천음식
양갈비, 양고기, 스테이크, 스튜, 치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.
기타정보
*Sanfrancisco Chronicle Competition Double Gold
*Wine Spectator 89점
수입사
비케이트레이딩   "
wine,레드,솔라이아,이탈리아,"생산자
마르께시 안티노리 Marchesi Antinori
국가/생산지역
이탈리아(Italy) > 토스카나(Toscana)
주요품종
카베르네 소비뇽 (Cabernet Sauvignon) , 카베르네 프랑 (Cabernet Franc) , 산지오베제 (Sangiovese)
알코올
13.5 %
음용온도
16~18 ℃
추천음식
안심, 등심 스테이크 등 부드러운 육류 요리 및 치즈 등과 잘 어울린다.
기타정보
*세계적인 와인 평론가 제임스 서클링이 선정, 2013 이태리 와인 중 1위
*Michelin 3 스타 Gordon Ramsay(London) 외 12곳
*소믈리에르 5권"
wine,레드,쉬발리에 드 바야르,프랑스,"생산자
GCF 그룹 GCF Group
국가/생산지역
프랑스(France)
주요품종
블렌드 (Blend )
알코올
13~14 %
음용온도
16~18 ℃
추천음식
치즈와 더불어 간단하게 내놓을 때에는 순하고 지방이 많은 치즈를 골라야 좋습니다."
wine,화이트,"슐로스 고벨스버그, 리슬링 가이스버그",오스트리아,"생산자
슐로스 고벨스버그 Schloss Gobelsburg
국가/생산지역
오스트리아(Austria) > 니더외스터라이히(Niederosterreich) > 캄프탈(Kamptal)
주요품종
리슬링 (Riesling) 100%
알코올
13.5 %
음용온도
10~12 ℃
추천음식
식전 주로서 아주 훌륭하고, 에피타이저, 수프, 야채, 생선초밥, 블루치즈 등과 잘 어울린다."
